Category,2024 Net Sales (in $M),2023 Net Sales (in $M),2022 Net Sales (in $M)
iPhone,201183,200583,205489
Mac,29984,29357,40177
iPad,26694,28300,29292
"Wearables, Home and Accessories",28000,39845,41241
Services,96169,85200,78129
Total,391035,383285,394328
